"stu_id","name","gender","age","course_id","course_name","grade","type_name","total_activities","total_duration_minutes"
1,"Tara Johnson","Female","23",1,"Course 1",59,"Forum","1","10.0000000000000000"
1,"Tara Johnson","Female","23",2,"Course 2",80,"Forum","1","10.0000000000000000"
1,"Tara Johnson","Female","23",3,"Course 3",79,"Forum","1","10.0000000000000000"
1,"Tara Johnson","Female","23",4,"Course 4",76,"Forum","1","10.0000000000000000"
1,"Tara Johnson","Female","23",5,"Course 5",51,"Forum","1","10.0000000000000000"
2,"Louis Rodriguez","Male","23",1,"Course 1",93,"Forum","3","51.0000000000000000"
2,"Louis Rodriguez","Male","23",1,"Course 1",93,"Group Assignment","6","164.0000000000000000"
2,"Louis Rodriguez","Male","23",1,"Course 1",93,"Individual Assignment","5","170.0000000000000000"
2,"Louis Rodriguez","Male","23",1,"Course 1",93,"Quiz","1","49.0000000000000000"
2,"Louis Rodriguez","Male","23",2,"Course 2",56,"Forum","3","51.0000000000000000"
2,"Louis Rodriguez","Male","23",2,"Course 2",56,"Group Assignment","6","164.0000000000000000"
2,"Louis Rodriguez","Male","23",2,"Course 2",56,"Individual Assignment","5","170.0000000000000000"
2,"Louis Rodriguez","Male","23",2,"Course 2",56,"Quiz","1","49.0000000000000000"
2,"Louis Rodriguez","Male","23",3,"Course 3",54,"Forum","3","51.0000000000000000"
2,"Louis Rodriguez","Male","23",3,"Course 3",54,"Group Assignment","6","164.0000000000000000"
2,"Louis Rodriguez","Male","23",3,"Course 3",54,"Individual Assignment","5","170.0000000000000000"
2,"Louis Rodriguez","Male","23",3,"Course 3",54,"Quiz","1","49.0000000000000000"
2,"Louis Rodriguez","Male","23",4,"Course 4",62,"Forum","3","51.0000000000000000"
2,"Louis Rodriguez","Male","23",4,"Course 4",62,"Group Assignment","6","164.0000000000000000"
2,"Louis Rodriguez","Male","23",4,"Course 4",62,"Individual Assignment","5","170.0000000000000000"
2,"Louis Rodriguez","Male","23",4,"Course 4",62,"Quiz","1","49.0000000000000000"
2,"Louis Rodriguez","Male","23",5,"Course 5",67,"Forum","3","51.0000000000000000"
2,"Louis Rodriguez","Male","23",5,"Course 5",67,"Group Assignment","6","164.0000000000000000"
2,"Louis Rodriguez","Male","23",5,"Course 5",67,"Individual Assignment","5","170.0000000000000000"
2,"Louis Rodriguez","Male","23",5,"Course 5",67,"Quiz","1","49.0000000000000000"
3,"Christopher Gutierrez","Male","22",1,"Course 1",79,"Forum","2","86.0000000000000000"
3,"Christopher Gutierrez","Male","22",1,"Course 1",79,"Group Assignment","3","74.0000000000000000"
3,"Christopher Gutierrez","Male","22",1,"Course 1",79,"Individual Assignment","3","53.0000000000000000"
3,"Christopher Gutierrez","Male","22",2,"Course 2",81,"Forum","2","86.0000000000000000"
3,"Christopher Gutierrez","Male","22",2,"Course 2",81,"Group Assignment","3","74.0000000000000000"
3,"Christopher Gutierrez","Male","22",2,"Course 2",81,"Individual Assignment","3","53.0000000000000000"
3,"Christopher Gutierrez","Male","22",3,"Course 3",84,"Forum","2","86.0000000000000000"
3,"Christopher Gutierrez","Male","22",3,"Course 3",84,"Group Assignment","3","74.0000000000000000"
3,"Christopher Gutierrez","Male","22",3,"Course 3",84,"Individual Assignment","3","53.0000000000000000"
3,"Christopher Gutierrez","Male","22",4,"Course 4",91,"Forum","2","86.0000000000000000"
3,"Christopher Gutierrez","Male","22",4,"Course 4",91,"Group Assignment","3","74.0000000000000000"
3,"Christopher Gutierrez","Male","22",4,"Course 4",91,"Individual Assignment","3","53.0000000000000000"
3,"Christopher Gutierrez","Male","22",5,"Course 5",82,"Forum","2","86.0000000000000000"
3,"Christopher Gutierrez","Male","22",5,"Course 5",82,"Group Assignment","3","74.0000000000000000"
3,"Christopher Gutierrez","Male","22",5,"Course 5",82,"Individual Assignment","3","53.0000000000000000"
4,"Robert Williams","Male","21",1,"Course 1",97,"Forum","2","33.0000000000000000"
4,"Robert Williams","Male","21",1,"Course 1",97,"Group Assignment","3","137.0000000000000000"
4,"Robert Williams","Male","21",1,"Course 1",97,"Individual Assignment","3","63.0000000000000000"
4,"Robert Williams","Male","21",1,"Course 1",97,"Quiz","1","24.0000000000000000"
4,"Robert Williams","Male","21",2,"Course 2",75,"Forum","2","33.0000000000000000"
4,"Robert Williams","Male","21",2,"Course 2",75,"Group Assignment","3","137.0000000000000000"
4,"Robert Williams","Male","21",2,"Course 2",75,"Individual Assignment","3","63.0000000000000000"
4,"Robert Williams","Male","21",2,"Course 2",75,"Quiz","1","24.0000000000000000"
4,"Robert Williams","Male","21",3,"Course 3",88,"Forum","2","33.0000000000000000"
4,"Robert Williams","Male","21",3,"Course 3",88,"Group Assignment","3","137.0000000000000000"
4,"Robert Williams","Male","21",3,"Course 3",88,"Individual Assignment","3","63.0000000000000000"
4,"Robert Williams","Male","21",3,"Course 3",88,"Quiz","1","24.0000000000000000"
4,"Robert Williams","Male","21",4,"Course 4",67,"Forum","2","33.0000000000000000"
4,"Robert Williams","Male","21",4,"Course 4",67,"Group Assignment","3","137.0000000000000000"
4,"Robert Williams","Male","21",4,"Course 4",67,"Individual Assignment","3","63.0000000000000000"
4,"Robert Williams","Male","21",4,"Course 4",67,"Quiz","1","24.0000000000000000"
4,"Robert Williams","Male","21",5,"Course 5",82,"Forum","2","33.0000000000000000"
4,"Robert Williams","Male","21",5,"Course 5",82,"Group Assignment","3","137.0000000000000000"
4,"Robert Williams","Male","21",5,"Course 5",82,"Individual Assignment","3","63.0000000000000000"
4,"Robert Williams","Male","21",5,"Course 5",82,"Quiz","1","24.0000000000000000"
5,"David Hopkins","Male","25",1,"Course 1",60,"Forum","3","119.0000000000000000"
5,"David Hopkins","Male","25",1,"Course 1",60,"Group Assignment","6","172.0000000000000000"
5,"David Hopkins","Male","25",1,"Course 1",60,"Individual Assignment","5","193.0000000000000000"
5,"David Hopkins","Male","25",1,"Course 1",60,"Quiz","1","14.0000000000000000"
5,"David Hopkins","Male","25",2,"Course 2",98,"Forum","3","119.0000000000000000"
5,"David Hopkins","Male","25",2,"Course 2",98,"Group Assignment","6","172.0000000000000000"
5,"David Hopkins","Male","25",2,"Course 2",98,"Individual Assignment","5","193.0000000000000000"
5,"David Hopkins","Male","25",2,"Course 2",98,"Quiz","1","14.0000000000000000"
5,"David Hopkins","Male","25",3,"Course 3",97,"Forum","3","119.0000000000000000"
5,"David Hopkins","Male","25",3,"Course 3",97,"Group Assignment","6","172.0000000000000000"
5,"David Hopkins","Male","25",3,"Course 3",97,"Individual Assignment","5","193.0000000000000000"
5,"David Hopkins","Male","25",3,"Course 3",97,"Quiz","1","14.0000000000000000"
5,"David Hopkins","Male","25",4,"Course 4",97,"Forum","3","119.0000000000000000"
5,"David Hopkins","Male","25",4,"Course 4",97,"Group Assignment","6","172.0000000000000000"
5,"David Hopkins","Male","25",4,"Course 4",97,"Individual Assignment","5","193.0000000000000000"
5,"David Hopkins","Male","25",4,"Course 4",97,"Quiz","1","14.0000000000000000"
5,"David Hopkins","Male","25",5,"Course 5",56,"Forum","3","119.0000000000000000"
5,"David Hopkins","Male","25",5,"Course 5",56,"Group Assignment","6","172.0000000000000000"
5,"David Hopkins","Male","25",5,"Course 5",56,"Individual Assignment","5","193.0000000000000000"
5,"David Hopkins","Male","25",5,"Course 5",56,"Quiz","1","14.0000000000000000"
6,"Andrew Calderon","Male","21",1,"Course 1",83,"Forum","3","85.0000000000000000"
6,"Andrew Calderon","Male","21",1,"Course 1",83,"Group Assignment","6","244.0000000000000000"
6,"Andrew Calderon","Male","21",1,"Course 1",83,"Individual Assignment","5","105.0000000000000000"
6,"Andrew Calderon","Male","21",1,"Course 1",83,"Quiz","1","34.0000000000000000"
6,"Andrew Calderon","Male","21",2,"Course 2",83,"Forum","3","85.0000000000000000"
6,"Andrew Calderon","Male","21",2,"Course 2",83,"Group Assignment","6","244.0000000000000000"
6,"Andrew Calderon","Male","21",2,"Course 2",83,"Individual Assignment","5","105.0000000000000000"
6,"Andrew Calderon","Male","21",2,"Course 2",83,"Quiz","1","34.0000000000000000"
6,"Andrew Calderon","Male","21",3,"Course 3",82,"Forum","3","85.0000000000000000"
6,"Andrew Calderon","Male","21",3,"Course 3",82,"Group Assignment","6","244.0000000000000000"
6,"Andrew Calderon","Male","21",3,"Course 3",82,"Individual Assignment","5","105.0000000000000000"
6,"Andrew Calderon","Male","21",3,"Course 3",82,"Quiz","1","34.0000000000000000"
6,"Andrew Calderon","Male","21",4,"Course 4",88,"Forum","3","85.0000000000000000"
6,"Andrew Calderon","Male","21",4,"Course 4",88,"Group Assignment","6","244.0000000000000000"
6,"Andrew Calderon","Male","21",4,"Course 4",88,"Individual Assignment","5","105.0000000000000000"
6,"Andrew Calderon","Male","21",4,"Course 4",88,"Quiz","1","34.0000000000000000"
6,"Andrew Calderon","Male","21",5,"Course 5",96,"Forum","3","85.0000000000000000"
6,"Andrew Calderon","Male","21",5,"Course 5",96,"Group Assignment","6","244.0000000000000000"
6,"Andrew Calderon","Male","21",5,"Course 5",96,"Individual Assignment","5","105.0000000000000000"
6,"Andrew Calderon","Male","21",5,"Course 5",96,"Quiz","1","34.0000000000000000"
7,"Samantha Flores","Female","25",1,"Course 1",73,"Forum","3","63.0000000000000000"
7,"Samantha Flores","Female","25",1,"Course 1",73,"Group Assignment","6","192.0000000000000000"
7,"Samantha Flores","Female","25",1,"Course 1",73,"Individual Assignment","5","91.0000000000000000"
7,"Samantha Flores","Female","25",1,"Course 1",73,"Quiz","1","27.0000000000000000"
7,"Samantha Flores","Female","25",2,"Course 2",76,"Forum","3","63.0000000000000000"
7,"Samantha Flores","Female","25",2,"Course 2",76,"Group Assignment","6","192.0000000000000000"
7,"Samantha Flores","Female","25",2,"Course 2",76,"Individual Assignment","5","91.0000000000000000"
7,"Samantha Flores","Female","25",2,"Course 2",76,"Quiz","1","27.0000000000000000"
7,"Samantha Flores","Female","25",3,"Course 3",87,"Forum","3","63.0000000000000000"
7,"Samantha Flores","Female","25",3,"Course 3",87,"Group Assignment","6","192.0000000000000000"
7,"Samantha Flores","Female","25",3,"Course 3",87,"Individual Assignment","5","91.0000000000000000"
7,"Samantha Flores","Female","25",3,"Course 3",87,"Quiz","1","27.0000000000000000"
7,"Samantha Flores","Female","25",4,"Course 4",88,"Forum","3","63.0000000000000000"
7,"Samantha Flores","Female","25",4,"Course 4",88,"Group Assignment","6","192.0000000000000000"
7,"Samantha Flores","Female","25",4,"Course 4",88,"Individual Assignment","5","91.0000000000000000"
7,"Samantha Flores","Female","25",4,"Course 4",88,"Quiz","1","27.0000000000000000"
7,"Samantha Flores","Female","25",5,"Course 5",67,"Forum","3","63.0000000000000000"
7,"Samantha Flores","Female","25",5,"Course 5",67,"Group Assignment","6","192.0000000000000000"
